Club,Dernière montée,Classement 2023-2024,Entraîneur(s),Depuis,Stade,Capacité en L1,Nombre de saison(s) en L1[3],Adresse,Latitude,Longitude
Paris Saint-Germain,1974,1er,Luis Enrique,2023,Parc des Princes,47929,52,"Parc des Princes, France",48.8413634,2.2530693
AS Monaco,2013,2e,Adi Hütter,2023,Stade Louis-II,16500,66,"Stade Louis-II, Monaco",43.7276,7.4190
Stade brestois 29,2019,3e,Éric Roy,2023,Stade Francis-Le Blé,15220,19,"Stade Francis-Le Blé, France",48.4030422,-4.4613605
LOSC Lille,2000,4e,Bruno Genesio,2024,Stade Pierre-Mauroy,50186,65,"Stade Pierre-Mauroy, France",50.6119044,3.1305080
OGC Nice,2002,5e,Franck Haise,2024,Allianz Riviera,35596,66,"Allianz Riviera, France",43.7051477,7.1926033
Olympique lyonnais,1989,6e,Paulo Fonseca,2025,Groupama Stadium,57206,67,"Groupama Stadium, France",45.7653624,4.9820543
RC Lens,2020,7e,Will Still,2024,Stade Bollaert-Delelis,38223,63,"Stade Bollaert-Delelis, France",50.4328100,2.8149878
Olympique de Marseille,1996,8e,Roberto De Zerbi,2024,Orange Vélodrome,66226,75,"Orange Vélodrome, France",43.2698350,5.3959117
Stade de Reims,2018,9e,Samba Diawara,2025,Stade Auguste-Delaune,20546,40,"Stade Auguste-Delaune, France",49.2470758,4.0247869
Stade rennais FC,1994,10e,Habib Beye,2025,Roazhon Park,29778,68,"Roazhon Park, France",48.1075655,-1.7126543
Toulouse FC,2022,11e,Carles Martínez Novell,2023,Stadium de Toulouse,33150,35,"Stadium de Toulouse, France",43.5832262,1.4340638
Montpellier HSC,2009,12e,Zoumana Camara,2025,Stade de la Mosson,22000,43,"Stade de la Mosson, France",43.6220220,3.8120898
RC Strasbourg,2017,13e,Liam Rosenior,2024,Stade de la Meinau,26109,64,"Stade de la Meinau, France",48.5600477,7.7551252
FC Nantes,2013,14e,Antoine Kombouaré,2024,Stade de la Beaujoire,35322,57,"Stade de la Beaujoire, France",47.2560050,-1.5247552
Le Havre AC,2023,15e,Didier Digard,2024,Stade Océane,25178,26,"Stade Océane, France",49.4987513,0.1694637
AJ Auxerre,2024,1er (Ligue 2),Christophe Pélissier,2022,Stade de l'Abbé-Deschamps,18541,34,"Stade de l'Abbé-Deschamps, France",,
Angers SCO,2024,2e (Ligue 2),Alexandre Dujeux,2023,Stade Raymond-Kopa,19350,32,"Stade Raymond-Kopa, France",47.4605516,-0.5306948
AS Saint-Étienne,2024,3e (Ligue 2),Eirik Horneland,2024,Stade Geoffroy-Guichard,41965,70,"Stade Geoffroy-Guichard, France",45.4607567,4.3900932
